index,geometry
259,POINT (121970.9370152605 487335.3493452177)
260,POINT (122057.7596512813 487637.2259105198)
261,POINT (121978.426416205 487348.6164256011)
262,POINT (122059.4511084736 487627.9265979942)
263,POINT (122062.447067788 487598.5178906886)
264,POINT (122063.229809211 487603.244757411)
265,POINT (122005.7102796589 487372.7326278991)
266,POINT (121980.4703875958 487350.4915071343)
267,POINT (122066.7051266152 487598.8161318639)
268,POINT (121968.7387505035 487337.2318168615)
269,POINT (121987.089751709 487341.8915961934)
270,POINT (122068.0815678844 487596.5141207176)
271,POINT (122058.665510361 487614.474343668)
272,POINT (121972.5893039209 487338.5783229419)
273,POINT (122003.4335202332 487377.0612825542)
274,POINT (121978.4864405312 487340.5969061879)
275,POINT (122053.8800857471 487655.4338924519)
276,POINT (121977.5096631143 487337.1892875253)
277,POINT (122064.7991833782 487593.8475646697)
278,POINT (122060.625480325 487608.1072233653)
279,POINT (122068.0787737393 487602.9575724689)
280,POINT (122063.8442005632 487597.7790412341)
281,POINT (122067.3669792075 487604.7479894158)
282,POINT (122001.6396527928 487379.0662324114)
283,POINT (121981.7270714866 487349.0178304072)
284,POINT (122065.8970420609 487603.8947508631)
285,POINT (122061.9594026547 487630.5105649623)
286,POINT (122062.4855104859 487602.947116119)
287,POINT (121971.1040888099 487338.6337250434)
288,POINT (121987.0684357959 487348.1388458495)
289,POINT (122060.0179125487 487594.7795494455)
290,POINT (121978.0461324009 487331.6501272962)
291,POINT (121974.6416420546 487340.1113739639)
292,POINT (122003.5934221847 487375.3410177085)
293,POINT (121976.7542029071 487336.8596996277)
294,POINT (122059.1035601766 487622.3348183458)
295,POINT (121973.8246649012 487334.9843340318)
296,POINT (122002.7745269894 487368.7823318072)
297,POINT (122000.7395562101 487373.8610171991)
298,POINT (121982.5933971367 487341.2280065891)
299,POINT (121983.7740020724 487338.1682954156)
300,POINT (122059.1695068553 487634.3695126112)
301,POINT (122053.2506292255 487635.3597996494)
302,POINT (122054.0050696666 487641.5670176292)
303,POINT (121976.1780726813 487338.4223777567)
