114,POINT (113584.1871702776 489603.0069980836)
115,POINT (113586.2509998758 489602.8014952719)
116,POINT (113585.7932014027 489609.5533410333)
117,POINT (113816.0888054575 489595.3192149614)
118,POINT (113814.549490185 489583.7926637036)
119,POINT (113814.2131849621 489581.9672261905)
120,POINT (113584.1934047577 489607.2341528118)
121,POINT (113817.389739304 489592.1458111793)
122,POINT (113585.2001023363 489603.6061778448)
123,POINT (113586.4656108929 489610.6180138608)
124,POINT (113815.0674343187 489604.0082995233)
125,POINT (113587.3944273341 489607.5685803826)
126,POINT (113587.1940969272 489608.6307628262)
127,POINT (113586.5955411405 489608.0871275826)
128,POINT (116769.4773567315 483576.0933426102)
129,POINT (116784.7732676584 483575.7612547606)
130,POINT (122374.610810791 484138.5312949562)
131,POINT (120205.2596613273 483564.8180901808)
132,POINT (120206.4660108536 483574.2482209422)
133,POINT (120205.0274398742 483560.0852611076)
134,POINT (120217.4586740541 483619.8109812656)
135,POINT (120188.9279541471 483539.0177933589)
136,POINT (120187.6750709315 483524.3681783247)
137,POINT (121753.6531817477 484833.4337096781)
138,POINT (122101.9810355452 483076.7419995566)
139,POINT (116051.7972517707 484287.1810825604)
140,POINT (115885.3211366808 483430.0539773302)
141,POINT (116865.1326154606 483988.2803036566)
142,POINT (116873.7817018625 483928.2111467276)
143,POINT (116865.4922288672 484021.2616787387)
144,POINT (116873.6555812163 484023.324868259)
145,POINT (117246.155458195 484336.8371620373)
146,POINT (116906.1308643225 484335.7524432252)
147,POINT (116983.7218314341 484340.1542276737)
148,POINT (116893.8545937669 484332.7608061843)
149,POINT (116896.163321371 484332.7437750187)
150,POINT (115580.1406992533 484390.8424232753)
151,POINT (116827.331202749 484982.4603002783)
152,POINT (115472.928807788 484829.3343640073)
153,POINT (116603.202614331 484258.914549263)
154,POINT (116622.9657931237 484255.2741843447)
155,POINT (116666.7889557758 484267.3140233168)
156,POINT (116866.9943286123 483795.1924243713)
157,POINT (116873.0884396127 483735.3407820099)
158,POINT (116687.3713436653 483392.0386784228)
159,POINT (116616.3367444292 483389.6792833825)
160,POINT (116743.5110792555 483396.0751223557)
161,POINT (116510.911181642 483399.9114552834)
162,POINT (116637.2877338513 483390.9132851713)
163,POINT (116703.0870449932 483394.8580714838)
164,POINT (116737.554547252 483396.475573236)
165,POINT (116773.1440133358 483393.4671993295)
166,POINT (116623.9661004649 483401.6106388549)
167,POINT (116623.5172201674 483398.8050505072)
168,POINT (116519.3517362023 483398.1482321694)
169,POINT (116617.8966416107 483398.3727508854)
170,POINT (116775.5419105661 483401.2602236468)
171,POINT (116685.9273914373 483395.3260127366)
172,POINT (116519.952104299 483394.32450774)
173,POINT (116573.6042040868 483392.5793473594)
174,POINT (116602.5435910575 483392.2858455608)
175,POINT (116682.1275050233 484468.602664765)
176,POINT (118794.0771691304 482624.5904780098)
177,POINT (115388.3511239429 484802.7099927609)
178,POINT (116260.1625053771 484434.7042825323)
179,POINT (116232.6486949701 484433.1723234225)
180,POINT (116283.2050532062 484430.6054406108)
181,POINT (116335.2297632147 484431.1072495026)
182,POINT (121338.6511242598 483820.9651008258)
183,POINT (121478.587454447 485442.0329758411)
184,POINT (116202.5591761697 484419.6640590134)
185,POINT (116075.6121299081 483317.3087178171)
186,POINT (116094.6940751841 483327.6417080192)
187,POINT (116056.5255610227 483305.867257713)
188,POINT (116095.7512699981 483325.3193797452)
189,POINT (116203.0299479458 483402.2135034662)
190,POINT (116482.6855111566 483782.9543602295)
191,POINT (115332.9358668826 484288.9616197515)
192,POINT (116216.6987006593 484285.5837824918)
193,POINT (116170.6983235506 483370.400365643)
194,POINT (116178.5121197206 483375.4851390915)
195,POINT (116104.3363358406 483333.0304408573)
196,POINT (116163.930144531 483367.7572202043)
197,POINT (116152.5136742388 483363.2500622019)
198,POINT (116416.246922021 484976.720419362)
199,POINT (116504.4357906007 484977.6758599278)
200,POINT (115888.2025317835 483496.7249278629)
201,POINT (115897.8810108047 483473.6726095302)
202,POINT (115897.5081047875 483509.4567270373)
203,POINT (115893.0714426897 483518.825076669)
204,POINT (116868.5677719368 483656.9591970743)
205,POINT (115539.6662539019 484374.4319970498)
206,POINT (115156.6093433649 484730.7082779123)
207,POINT (116500.5758496361 483946.3824130195)
208,POINT (116666.5566362644 483380.0578793979)
209,POINT (116644.3083639977 483380.0417563851)
210,POINT (116684.1024038058 483376.5488730088)
211,POINT (116486.8216149948 483383.5929862684)
212,POINT (116656.3990629513 483376.9834265071)
213,POINT (122674.7321727198 492439.0633408193)
214,POINT (122593.1009631477 492495.9405430579)
215,POINT (122580.9170019137 492506.3512624196)
216,POINT (122655.7111125836 492443.2897351451)
217,POINT (122529.95653846 492543.3193939356)
218,POINT (114629.823715737 484120.0293184471)
219,POINT (115558.0147970499 484856.6951275256)
220,POINT (115616.3515331075 484878.1884941168)
221,POINT (116822.6047723587 483414.2891749947)
222,POINT (116862.2849765231 483446.5425875752)
223,POINT (116863.4018471976 483460.2384846429)
224,POINT (116849.6101344984 483440.2618934031)
